epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.095,1.91391,1.52375,1.24628,0.73205,0.42778,0.49098,0.24008,1.65699,1.01088,1.10606,0.0700466,0.00332816,0.00332816
2,414.376,1.72418,1.07888,1.09853,0.69673,0.42406,0.47495,0.23153,1.70151,1.14434,1.11608,0.0400455,0.00666036,0.00666036
3,616.243,1.72599,1.07271,1.08692,0.72096,0.41522,0.46966,0.2231,1.70888,1.08295,1.12072,0.0100398,0.00998804,0.00998804
4,817.683,1.71536,1.05451,1.08417,0.77018,0.417,0.48482,0.25211,1.62661,0.95007,1.09367,0.00998474,0.00998474,0.00998474
5,1018.43,1.66635,0.99781,1.06817,0.76911,0.4676,0.52789,0.26576,1.60948,0.89714,1.08445,0.00997288,0.00997288,0.00997288
6,1219.61,1.63045,0.94764,1.05556,0.76816,0.4818,0.55043,0.28362,1.55112,0.8479,1.05115,0.00995765,0.00995765,0.00995765
7,1420.47,1.61046,0.92649,1.05253,0.77409,0.48818,0.55309,0.28661,1.52429,0.82905,1.04895,0.00993906,0.00993906,0.00993906
8,1620.47,1.59116,0.91088,1.04693,0.78384,0.48932,0.56019,0.2917,1.53459,0.83592,1.05612,0.00991711,0.00991711,0.00991711
9,1821.33,1.57914,0.8876,1.03693,0.79098,0.5022,0.57234,0.30193,1.49119,0.8053,1.04548,0.00989183,0.00989183,0.00989183
10,2023.02,1.56359,0.87219,1.03347,0.80114,0.51146,0.58915,0.31136,1.47712,0.78256,1.0344,0.00986323,0.00986323,0.00986323
11,2223.87,1.55433,0.86058,1.0351,0.81262,0.51672,0.59458,0.31433,1.46724,0.75657,1.03453,0.00983133,0.00983133,0.00983133
12,2423.45,1.54121,0.8499,1.03106,0.81062,0.51862,0.59513,0.31574,1.46912,0.75343,1.02841,0.00979616,0.00979616,0.00979616
13,2624.42,1.53902,0.84877,1.02398,0.80328,0.51819,0.59124,0.31244,1.47246,0.74475,1.02498,0.00975773,0.00975773,0.00975773
14,2825.02,1.53284,0.83637,1.0234,0.81747,0.5254,0.60615,0.32188,1.4561,0.74538,1.02585,0.00971608,0.00971608,0.00971608
15,3023.96,1.52571,0.83738,1.02531,0.80198,0.53724,0.60616,0.31801,1.45305,0.74458,1.02137,0.00967122,0.00967122,0.00967122
16,3224.49,1.52482,0.82859,1.02025,0.81361,0.53258,0.60949,0.32515,1.44479,0.72701,1.02099,0.0096232,0.0096232,0.0096232
17,3425.31,1.51693,0.82052,1.01566,0.81141,0.53975,0.61364,0.32746,1.43159,0.71362,1.01776,0.00957205,0.00957205,0.00957205
18,3626.08,1.51405,0.8186,1.02134,0.8166,0.5388,0.61692,0.32994,1.43955,0.71986,1.01937,0.0095178,0.0095178,0.0095178
19,3828.8,1.5179,0.81538,1.01275,0.81597,0.54154,0.61398,0.3291,1.43015,0.71138,1.01115,0.00946048,0.00946048,0.00946048
20,4028.54,1.50115,0.80584,1.01435,0.82122,0.53948,0.61537,0.33116,1.42886,0.71192,1.01484,0.00940014,0.00940014,0.00940014
21,4229.95,1.50295,0.80305,1.01142,0.82216,0.54514,0.62221,0.33363,1.42385,0.70429,1.01368,0.00933683,0.00933683,0.00933683
22,4430.88,1.50232,0.80708,1.01294,0.82507,0.5462,0.62152,0.33483,1.4126,0.70075,1.0129,0.00927057,0.00927057,0.00927057
23,4630.31,1.49056,0.79129,1.01166,0.83042,0.54572,0.62516,0.33648,1.41402,0.68956,1.01217,0.00920142,0.00920142,0.00920142
24,4831.11,1.49531,0.79429,1.00634,0.82831,0.54796,0.62638,0.33902,1.40956,0.68907,1.00742,0.00912942,0.00912942,0.00912942
25,5029.89,1.4801,0.78382,1.01012,0.82905,0.55041,0.63109,0.34146,1.40681,0.68016,1.00861,0.00905463,0.00905463,0.00905463
26,5229.68,1.48577,0.78379,1.01025,0.83518,0.55448,0.6357,0.34273,1.40757,0.67911,1.00791,0.0089771,0.0089771,0.0089771
27,5429.96,1.49146,0.78716,1.0032,0.83356,0.5562,0.63848,0.34727,1.39723,0.67499,1.00119,0.00889687,0.00889687,0.00889687
28,5629.82,1.48252,0.78532,1.00591,0.83215,0.55527,0.6374,0.34593,1.39485,0.67085,1.00284,0.00881401,0.00881401,0.00881401
29,5830.23,1.4736,0.77536,1.00312,0.83184,0.55612,0.6369,0.34388,1.39688,0.67268,1.00336,0.00872857,0.00872857,0.00872857
30,6030.58,1.47234,0.77419,1.00304,0.83385,0.56038,0.64066,0.34857,1.3881,0.66429,1.0029,0.0086406,0.0086406,0.0086406
31,6230.33,1.46474,0.76916,1.00032,0.8306,0.56179,0.64,0.34636,1.39066,0.66219,0.999,0.00855018,0.00855018,0.00855018
32,6430.05,1.46534,0.77019,0.99902,0.83284,0.56277,0.64255,0.3498,1.38718,0.65997,0.99858,0.00845736,0.00845736,0.00845736
33,6629.58,1.46322,0.76557,0.99866,0.83634,0.56371,0.64451,0.35239,1.38284,0.65864,0.99729,0.0083622,0.0083622,0.0083622
34,6831.01,1.45978,0.76164,0.99635,0.83463,0.56398,0.64626,0.35165,1.38414,0.65317,0.99619,0.00826477,0.00826477,0.00826477
35,7033.07,1.46247,0.76392,0.99502,0.83283,0.56569,0.64386,0.35178,1.38331,0.6526,0.99551,0.00816514,0.00816514,0.00816514
36,7233.96,1.46442,0.76369,0.99562,0.83801,0.56476,0.64745,0.35235,1.38092,0.65322,0.9955,0.00806337,0.00806337,0.00806337
37,7434.97,1.45862,0.75802,0.99466,0.84144,0.56613,0.64965,0.35529,1.37527,0.64921,0.99535,0.00795954,0.00795954,0.00795954
38,7635.16,1.44965,0.75331,0.99177,0.83068,0.57144,0.6496,0.35447,1.37479,0.64859,0.99354,0.00785371,0.00785371,0.00785371
39,7835.3,1.44464,0.74982,0.99325,0.83854,0.56967,0.6512,0.35577,1.3725,0.64493,0.99248,0.00774596,0.00774596,0.00774596
40,8036.2,1.45467,0.75413,0.99144,0.83737,0.57239,0.65106,0.35483,1.37445,0.64534,0.9929,0.00763637,0.00763637,0.00763637
41,8235.29,1.43626,0.74101,0.99254,0.83249,0.57292,0.65181,0.35587,1.37511,0.64314,0.9913,0.007525,0.007525,0.007525
42,8435.88,1.44682,0.74544,0.99266,0.83912,0.57103,0.6532,0.3559,1.37269,0.63981,0.99108,0.00741194,0.00741194,0.00741194
43,8636.83,1.44881,0.7481,0.98934,0.83816,0.57467,0.65517,0.35806,1.36923,0.63784,0.99151,0.00729725,0.00729725,0.00729725
44,8836.92,1.44354,0.74406,0.99035,0.83535,0.57466,0.65476,0.35801,1.36756,0.63755,0.99007,0.00718103,0.00718103,0.00718103
45,9036.91,1.43959,0.74075,0.9877,0.83694,0.57544,0.65558,0.35892,1.36792,0.63574,0.98984,0.00706335,0.00706335,0.00706335
46,9237.08,1.43643,0.73655,0.99095,0.84384,0.57504,0.65766,0.36075,1.36684,0.63203,0.99113,0.00694428,0.00694428,0.00694428
47,9436.87,1.44188,0.7404,0.98602,0.83969,0.57671,0.65733,0.35992,1.36563,0.63165,0.99039,0.00682392,0.00682392,0.00682392
48,9636.85,1.42873,0.7325,0.98601,0.83839,0.57707,0.65811,0.36053,1.364,0.63022,0.98895,0.00670234,0.00670234,0.00670234
49,9835.49,1.43015,0.73409,0.98816,0.8397,0.57848,0.65855,0.36116,1.36014,0.62958,0.98761,0.00657963,0.00657963,0.00657963
50,10035.6,1.43581,0.73302,0.98433,0.84226,0.57809,0.65948,0.36169,1.35987,0.62732,0.98563,0.00645588,0.00645588,0.00645588
51,10236.3,1.43411,0.73193,0.98742,0.84436,0.57861,0.66097,0.36235,1.35992,0.62632,0.98639,0.00633115,0.00633115,0.00633115
52,10435.9,1.429,0.73157,0.98357,0.84167,0.58033,0.66257,0.36319,1.35929,0.62496,0.98581,0.00620555,0.00620555,0.00620555
53,10635.4,1.42792,0.72559,0.98585,0.84411,0.57888,0.66224,0.36306,1.35862,0.62367,0.98637,0.00607916,0.00607916,0.00607916
54,10834.9,1.43508,0.73122,0.98421,0.84375,0.58005,0.66263,0.36324,1.35811,0.62401,0.98611,0.00595207,0.00595207,0.00595207
55,11033.1,1.41686,0.72159,0.98516,0.84516,0.57955,0.66334,0.36378,1.35752,0.62336,0.9865,0.00582435,0.00582435,0.00582435
56,11232.8,1.42354,0.72369,0.98399,0.84685,0.58058,0.66482,0.36437,1.35731,0.62218,0.98582,0.0056961,0.0056961,0.0056961
57,11433.3,1.42432,0.72154,0.98104,0.8463,0.5807,0.66483,0.36465,1.35724,0.62183,0.98545,0.00556742,0.00556742,0.00556742
58,11632.9,1.41457,0.71767,0.97808,0.84419,0.58242,0.66522,0.3651,1.35672,0.62054,0.98472,0.00543837,0.00543837,0.00543837
59,11832.1,1.41132,0.7162,0.97829,0.84589,0.5821,0.66573,0.36575,1.35622,0.61966,0.98374,0.00530906,0.00530906,0.00530906
